parcel_id,owner_id,zipcode,rental,census_tracts
12132600,45875,53511,N,21.1
12141020,23703,53511,Y,22.1
12141045,58021,53511,N,22.1
12141050,55033,53511,N,22.1
12141055,59898,53511,N,22.1
12141060,3958,53511,N,22.1
12141065,7089,53511,N,22.1
12141070,5711,53511,N,22.1
12141075,57671,53511,N,22.1
12141080,12422,53511,N,22.1
12141085,26353,53511,Y,22.1
12141090,3289,53511,N,22.1
12141095,23262,53511,N,22.1
12141100,5962,53511,N,22.1
12141105,53247,53511,N,22.1
12141110,23762,53511,Y,22.1
12141115,50673,53511,N,22.1
12141120,2682,53511,Y,22.1
12141125,13416,53511,N,22.1
12141130,49531,53511,Y,22.1
12141135,42440,53511,Y,22.1
12141140,54841,53511,N,22.1
12141145,55079,53511,N,22.1
12141150,59602,53511,N,22.1
12141155,11806,53511,N,22.1
12141160,8679,53511,N,22.1
12141165,59122,53511,N,22.1
12141170,13526,53511,N,22.1
12141175,13742,53511,N,22.1
12141180,11802,53511,N,22.1
12141185,5793,53511,N,22.1
12141190,52571,53511,N,22.1
12141195,26309,53511,N,22.1
12141200,56330,53511,N,22.1
12141205,7160,53511,N,22.1
12141210,54360,53511,N,22.1
12141215,49504,53511,N,22.1
12141220,26415,53511,N,22.1
12141225,5063,53511,N,22.1
12141230,51637,53511,N,22.1
12141235,4974,53511,N,22.1
12141240,43121,53511,N,22.1
12141245,28090,53511,N,22.1
12141250,4364,53511,Y,22.1
12141255,4549,53511,N,22.1
12141272,4829,53511,N,22.1
12141295,7352,53511,N,22.1
12141300,55315,53511,N,22.1
12141305,27464,53511,Y,22.1
12141310,49858,53511,N,22.1
12141315,4881,53511,N,22.1
12141320,2113,53511,N,22.1
12141325,12791,53511,N,22.1
12141330,1258,53511,N,22.1
12141335,48939,53511,Y,22.1
12141340,49956,53511,N,22.1
12141345,50526,53511,N,22.1
12141350,46797,53511,N,22.1
12141355,43108,53511,N,22.1
12141360,3150,53511,N,22.1
12141365,47946,53511,N,22.1
12141370,25439,53511,N,22.1
12141375,8440,53511,N,22.1
12141380,59164,53511,N,22.1
12141385,3631,53511,N,22.1
12141390,14687,53511,N,22.1
12141395,12112,53511,N,22.1
12141400,7193,53511,N,22.1
12141405,13936,53511,N,22.1
12141410,4744,53511,N,22.1
12141415,45949,53511,N,22.1
12141420,43108,53511,N,22.1
12141425,57773,53511,N,22.1
12141430,13263,53511,N,22.1
12141435,5429,53511,N,22.1
12141440,54683,53511,N,22.1
12141445,24366,53511,N,22.1
12141450,48800,53511,N,22.1
12141455,58538,53511,N,22.1
12141460,20538,53511,N,22.1
12141465,54599,53511,Y,22.1
12141470,57625,53511,N,22.1
12141475,2922,53511,N,22.1
12141480,52156,53511,N,21.1
12141485,26531,53511,N,21.1
12141490,7055,53511,N,21.1
12141495,27313,53511,N,21.1
12141500,45517,53511,N,21.1
12141505,57379,53511,N,21.1
12141510,3987,53511,Y,21.1
12141515,57929,53511,N,21.1
12141520,3491,53511,N,21.1
12141525,14602,53511,N,21.1
12141530,58543,53511,N,21.1
12141535,12790,53511,N,21.1
12141540,53489,53511,N,21.1
12141545,12908,53511,N,21.1
12141550,23265,53511,N,21.1
12141555,52596,53511,N,21.1
12141560,44357,53511,N,21.1
12141565,8509,53511,N,21.1
12141570,55524,53511,N,21.1
12141600,21899,53511,N,22.1
12141700,49160,53511,N,22.1
12141750,23527,53511,N,22.1
12141900,46258,53511,N,22.1
12210010,47545,53511,N,21.1
12210500,4245,53511,N,21.1
12220010,47545,53511,N,21.1
12220100,58877,53511,N,21.1
12220200,4245,53511,N,21.1
12230010,4245,53511,N,21.1
12230100,42792,53511,N,21.1
12240005,12096,53511,N,21.1
12240010,4125,53511,N,21.1
12240015,58732,53511,N,21.1
12240020,14123,53511,N,21.1
12240025,24413,53511,N,21.1
12240030,13273,53511,N,21.1
12240035,5274,53511,N,21.1
12240040,51820,53511,N,21.1
12240045,14573,53511,N,21.1
12240050,42089,53511,N,21.1
12240055,59050,53511,N,21.1
12240060,49210,53511,N,21.1
12240065,6090,53511,N,21.1
12240070,52734,53511,N,21.1
12240075,12652,53511,N,21.1
12240080,29406,53511,N,21.1
12240085,13126,53511,N,21.1
12240090,7534,53511,N,21.1
12240095,13521,53511,N,21.1
12240100,3450,53511,N,21.1
12240105,54814,53511,N,21.1
12240110,59024,53511,N,21.1
12240115,6656,53511,N,21.1
12240120,7714,53511,N,21.1
12240125,59466,53511,Y,21.1
12240130,5704,53511,N,21.1
12240135,56649,53511,N,21.1
12240140,7763,53511,N,21.1
12240145,11000,53511,N,21.1
12240150,4260,53511,N,21.1
12240155,1015,53511,N,21.1
12240160,9155,53511,N,21.1
12240165,43222,53511,N,21.1
12240170,9654,53511,Y,21.1
12240175,4610,53511,N,21.1
12240180,53102,53511,N,21.1
12240185,13286,53511,N,21.1
12240190,6974,53511,N,21.1
12240195,8483,53511,N,21.1
12240200,6316,53511,N,21.1
12240205,3698,53511,N,21.1
12240210,16254,53511,N,21.1
12240215,11182,53511,N,21.1
12240220,5749,53511,N,21.1
12240225,4883,53511,N,21.1
12240230,58303,53511,N,21.1
12240235,14376,53511,N,21.1
12240240,3454,53511,N,21.1
12240245,51781,53511,N,21.1
12240250,54344,53511,N,21.1
12240255,8893,53511,N,21.1
12240260,2523,53511,N,21.1
12240265,9590,53511,N,21.1
12240270,14676,53511,N,21.1
12240275,55110,53511,N,21.1
12240280,3834,53511,N,21.1
12240285,41926,53511,N,21.1
12240290,14433,53511,N,21.1
12240295,3056,53511,Y,21.1
12240300,10051,53511,N,21.1
12240305,11803,53511,N,21.1
12240310,14669,53511,N,21.1
12240315,58098,53511,N,21.1
12240320,29857,53511,N,21.1
12240325,59478,53511,N,21.1
12240330,10416,53511,N,21.1
12240335,57930,53511,N,21.1
12240340,4200,53511,N,21.1
12240345,5657,53511,N,21.1
12240350,10611,53511,Y,21.1
12240355,22384,53511,N,21.1
12240360,55714,53511,N,21.1
12240365,55714,53511,N,21.1
12240380,15158,53511,N,21.1
12240385,6534,53511,Y,21.1
12240390,59316,53511,Y,21.1
12240395,57626,53511,Y,21.1
12240400,56399,53511,Y,21.1
12240405,56647,53511,Y,21.1
12240410,56647,53511,Y,21.1
12240415,41307,53511,Y,21.1
12240425,41307,53511,Y,21.1
12240430,26421,53511,Y,21.1
12240435,56200,53511,N,21.1
12240440,55463,53511,N,21.1
12240445,56200,53511,Y,21.1
12240450,56200,53511,Y,21.1
12240455,46765,53511,N,21.1
12240460,50232,53511,N,21.1
12240465,15249,53511,N,21.1
12240470,55034,53511,N,21.1
12240475,15248,53511,N,21.1
12240480,2205,53511,Y,21.1
12240485,10545,53511,N,21.1
12240905,1112,53511,N,21.1
12240912,58038,53511,N,21.1
12240950,14476,53511,N,21.1
12240960,41384,53511,Y,21.1
12240970,41384,53511,Y,21.1
12240980,60564,53511,N,21.1
12240985,52696,53511,Y,21.1
12240990,29740,53511,N,21.1
12241000,4122,53511,N,21.1
12250010,3918,53511,Y,21.1
12250035,3918,53511,Y,21.1
12250090,12545,53511,N,21.1
12250095,48793,53511,N,21.1
12250100,48793,53511,N,21.1
12250190,3918,53511,Y,21.1
12250335,56200,53511,N,21.1
