owner_id,owner_zipcode
55751,53511
41928,53525
56236,53511
42220,53545
3625,53511
57766,53511
54121,53511
24364,53511
50225,53511
7008,53511
52083,53511
3702,53511
44694,53511
9171,53511
56319,53511
50115,53511
10014,53511
12710,53511
2302,53511
58241,53511
26298,53511
60402,53511
2246,53511
43620,53511
3599,53511
11583,53511
8280,53511
9402,53511
53660,53511
29689,53511
59195,53511
12373,53511
14377,53511
13238,53511
42305,53546
3162,53511
11872,53511
27725,53511
25509,53511
12818,53511
59377,53511
53067,53511
60398,53511
55231,53511
40327,53511
10340,53511
10340,53511
11108,53511
53657,53511
54070,53511
15066,53511
23845,53511
41592,53511
59806,53511
2117,53511
42362,53511
42362,53511
42362,53511
2863,53511
4037,53511
4037,53511
53086,53511
16175,53511
16467,53511
16143,53511
12947,53511
15494,53511
48715,53511
16049,53511
16625,53511
47803,53511
3036,53511
7220,53511
7220,53511
40088,53511
43158,61072
13051,53511
60054,53511
44377,53511
58791,53511
10465,53511
6696,53511
49896,53545
2016,53511
49896,53545
49896,53545
49896,53545
58448,53545
7077,53511
7077,53511
7077,53511
41453,53511
40121,53511
45875,53511
23703,53719
58021,53511
55033,53511
59898,53511
3958,53511
7089,53511
5711,53511
57671,53511
12422,53511
26353,61115
3289,53511
23262,53511
5962,53511
53247,53511
23762,53511
50673,53511
2682,53511
13416,53511
49531,53546
42440,53511
54841,53511
55079,53511
59602,48085
11806,53511
8679,53511
59122,53511
13526,53511
13742,53511
11802,53511
5793,53511
52571,53511
26309,53511
56330,53511
7160,53511
54360,53511
49504,53511
26415,53511
5063,53511
51637,53511
4974,53511
43121,53511
28090,53511
4364,53511
4549,53511
4829,53511
41167,53511
4829,53511
12947,53511
7352,53511
55315,53511
27464,53512
49858,53511
4881,53511
2113,53511
12791,53511
1258,53511
48939,53224
49956,53511
50526,53511
46797,53511
43108,53511
3150,53511
47946,53511
25439,53511
8440,53511
59164,53511
3631,53511
14687,53520
12112,53511
7193,53511
13936,53511
4744,53511
45949,53511
43108,53511
57773,53511
13263,53511
5429,53511
54683,53511
24366,53511
48800,53511
58538,53511
20538,53511
54599,54915
57625,53511
2922,53511
52156,53511
26531,53511
7055,53511
27313,53511
45517,53511
57379,53511
3987,53511
57929,53511
3491,53511
14602,53511
58543,53511
12790,53511
53489,53511
12908,53511
23265,53511
52596,53511
44357,53511
8509,53511
55524,53511
21899,53511
21899,53511
49160,53511
23527,53511
46258,53511
47545,94523
4245,53589
47545,94523
58877,53511
4245,53589
4245,53589
42792,53576
12096,53511
4125,53511
58732,53511
14123,53511
24413,53511
13273,53511
5274,53511
51820,53511
14573,53511
42089,53511
59050,53511
49210,53511
6090,53511
52734,53511
12652,53511
29406,53511
13126,53511
7534,53511
13521,53511
3450,53511
54814,53511
59024,53511
6656,53511
7714,53511
59466,53511
5704,53511
56649,53511
7763,53511
11000,53511
4260,53511
1015,53511
9155,53511
43222,53511
9654,53511
4610,53511
53102,53511
13286,53511
6974,53511
8483,53511
6316,53511
3698,53511
16254,53511
11182,53511
5749,53511
4883,53511
58303,53511
14376,53511
3454,53511
51781,53511
54344,53511
8893,53511
2523,53511
9590,53511
14676,53511
55110,53511
3834,53511
41926,53511
14433,53511
3056,53511
10051,53511
11803,53511
14669,53511
58098,53511
29857,53511
59478,53511
10416,53511
57930,53511
4200,53511
5657,53511
10611,53511
22384,53511
55714,53511
55714,53511
15158,53511
6534,53511
59316,53511
57626,61065
56399,53512
56647,53546
56647,53546
41307,53149
41307,53149
26421,53511
56200,53511
55463,53511
56200,53511
56200,53511
46765,53511
50232,53511
15249,53511
55034,53511
15248,53511
2205,53511
10545,53511
1112,53511
1112,53511
58038,53511
14476,53511
41384,53511
41384,53511
1112,53511
60564,53511
52696,53045
29740,53511
4122,53511
3918,INC
3918,INC
14602,53511
12545,53511
48793,53511
