violation_id,parcel_id,violation_code
23032,13580805,H400
23033,12560420,H400
23034,12650445,H400
23035,23280005,H005
23036,12781035,H300
23036,12781035,H305
23037,12740670,H262
23038,13431290,H120
23038,13431290,H205
23038,13431290,H300
23039,12760680,H121
23039,12760680,H160
23040,13511020,H120
23040,13511020,H180
23040,13511020,H205
23040,13511020,H240
23040,13511020,H270
23041,13510425,H005
23041,13510425,H187
23041,13510425,H355
23041,13510425,H401
23042,13510425,H420
23043,13510425,H355
23043,13510425,H401
23043,13510425,H430
23044,12560595,H145
23045,12740580,H095
23046,12740580,H121
23046,12740580,H185
23046,12740580,H205
23046,12740580,H317
23047,13330760,H400
23048,13480970,H400
23049,13440345,H400
23050,13510725,H400
23051,13611070,H400
23052,12580865,H400
23053,13551315,H400
23054,12520450,H400
23055,13581625,H035
23056,13560720,H035
23057,13551220,H035
23058,13560365,H300
23059,13560095,H309
23060,13551170,H030
23061,13440260,H030
23062,12570545,H230
23062,12570545,H317
23063,12510830,H005
23063,12510830,H125
23063,12510830,H262
23064,12650985,H320
23065,13630280,H420
23066,12580305,H005
23067,13640680,H200
23067,13640680,H308
23067,13640680,H309
23068,13550750,H300
23069,13430880,H300
23070,13560625,H300
23071,13560750,H300
23072,13560750,H300
23073,13580330,H300
23074,13550750,H300
23075,13430885,H300
23076,12520490,H005
23078,13530045,H420
23080,13430320,H317
23081,13410135,H317
23082,12580615,H005
23083,12781340,H320
23084,12660210,H095
23085,12660055,H095
23086,12520225,H120
23086,12520225,H160
23086,12520225,H175
23086,12520225,H205
23086,12520225,H317
23087,12530815,H300
23088,13421805,H300
23089,12581350,H200
23089,12581350,H308
23090,13620060,H105
23091,13660545,H095
23092,13680220,H095
23093,13461060,H262
23094,13430855,H262
23095,13441205,H040
23096,13430170,H309
23097,13460570,H030
23098,13421840,H095
23099,13680225,H309
23100,12531645,H035
23101,12510055,H005
23102,12512165,H300
23103,11341420,H035
23104,12670003,H040
23105,12410665,H035
23106,11340265,H050
23107,20760780,H283
23108,13610390,H200
23108,13610390,H308
23108,13610390,H309
23109,13610390,H200
23109,13610390,H308
23109,13610390,H309
23111,21850140,H125
23112,21980420,H050
23113,21980440,H120
23114,21970890,H050
23115,13660460,H320
23116,21980612,H035
23116,21980612,H125
23117,21911050,H300
23118,21970830,H030
23119,12781340,H308
23119,12781340,H309
23120,12660360,H320
23121,12530885,H320
23122,12141135,H325
23123,12530775,H320
23124,12660265,H320
23125,13620125,H320
23126,13620140,H320
23127,12640315,H320
23128,12640310,H320
23129,12640305,H320
23130,13610955,H035
23131,12650145,H320
23132,12650140,H320
23133,13431195,H185
23133,13431195,H317
23134,12630050,H320
23135,12630055,H320
23136,21851555,H035
23137,21911900,H035
23137,21911900,H050
23137,21911900,H309
23138,13520610,H320
23139,13510230,H035
23140,13510020,H309
23141,13420665,H295
23142,12730655,H300
23143,13580745,H309
23144,13581650,H320
23146,12561010,H005
23147,12531195,H035
23148,12521220,H120
23149,12531630,H005
23150,12560440,H035
23151,11333100,H420
23152,11333100,H340
23153,12560165,H005
23154,11333100,H281
23154,11333100,H281
23154,11333100,H281
23154,11333100,H340
23155,12730245,H320
23156,12660390,H320
23157,12650465,H320
23158,12740679,H320
23159,12750220,H320
23160,12650835,H320
23161,12650835,H320
23162,23020380,H035
23163,12510360,H300
23164,13610871,H035
23174,12521890,H035
23175,12750530,H096
23175,12750530,H205
23175,12750530,H260
23175,12750530,H317
23177,12630005,H309
23178,12410335,H300
23180,12651315,H320
23181,12651500,H320
23186,12141470,H120
23186,12141470,H125
23186,12141470,H245
23186,12141470,H305
23187,21930020,H035
23189,21940070,H035
23190,12651830,H320
23193,12651765,H320
23194,12651710,H320
23195,12410105,H000
23195,12410105,H040
23196,12531060,H320
23198,12531065,H320
23199,12531075,H320
23200,12250970,H050
23201,12531085,H320
23202,12531090,H320
23203,12250970,H320
23204,12531120,H320
23205,12561280,H320
23206,13571290,H096
23206,13571290,H160
23206,13571290,H170
23206,13571290,H185
23206,13571290,H205
23207,13550335,H205
23207,13550335,H260
23207,13550335,H305
23208,12561275,H320
23209,12560410,H320
23210,12561250,H320
23211,12651670,H095
23211,12651670,H105
23212,13660615,H116
23212,13660615,H120
23212,13660615,H240
23212,13660615,H245
23212,13660615,H317
23214,12720415,H120
23215,13660635,H281
23215,13660635,H281
23215,13660635,H281
23215,13660635,H470
23220,12580910,H090
23220,12580910,H120
23221,12520700,H120
23221,12520700,H160
23221,12520700,H300
23221,12520700,H317
23222,12760765,H300
23223,13411050,H400
23224,13561305,H180
23224,13561305,H205
23224,13561305,H300
23224,13561305,H300
23224,13561305,H317
23225,12530170,H400
23226,13570290,H400
23227,13620925,H400
23228,13571515,H309
23229,13420880,H309
23230,12580135,H300
23231,13561090,H400
23232,12750630,H400
23233,13461480,H400
23234,13431010,H400
23235,21880120,H400
23236,21880125,H400
23237,21880130,H400
23238,21880135,H400
23239,21920780,H400
23240,12680060,H400
23241,12510385,H400
23242,12430130,H400
23243,13430305,H400
23244,13610570,H400
23245,23170010,H400
23246,12530885,H400
23247,13431665,H400
23248,13410790,H400
23249,13431595,H400
23250,12560745,H400
23251,12710745,H400
23252,13560095,H400
23253,13410635,H400
23254,13681220,H400
23255,13681090,H400
23256,12530125,H400
23257,12531140,H400
23258,12560615,H400
23259,12581625,H400
23260,13530465,H400
23261,21970050,H400
23262,21970040,H400
23263,13460960,H400
23264,12512085,H400
23265,13430050,H400
23266,13560110,H400
23267,12581255,H400
23268,13421730,H400
23269,12650465,H400
23270,12630035,H400
23271,12630050,H400
23272,13550440,H400
23273,13570130,H400
23274,13570125,H400
23275,12650965,H400
23276,12740010,H400
23277,12440120,H400
23278,13570830,H400
23279,12530285,H400
23280,13460020,H400
23281,13550610,H400
23282,13470367,H400
23283,21850110,H400
23284,12532010,H400
23285,12510885,H400
23286,12520080,H400
23287,12720754,H400
23288,13420365,H400
23289,13660620,H400
23290,13580790,H400
23291,13470395,H400
23292,13610615,H400
23293,12561095,H400
23294,13650625,H400
23295,13520400,H400
23296,12530555,H400
23297,21921735,H400
23298,13430085,H400
23299,13451400,H400
23300,13561110,H400
23301,12570755,H400
23302,13510600,H400
23303,13571375,H400
23304,12651310,H400
23305,12531275,H400
23306,13550300,H115
23306,13550300,H210
23306,13550300,H245
23306,13550300,H317
23307,13460260,H400
23308,13571140,H400
23309,13640090,H400
23310,12630055,H005
23310,12630055,H035
23311,12410190,H400
23312,13561335,H400
23313,12640150,H400
23314,12520935,H400
23315,13560700,H400
23316,12531010,H400
23317,13420645,H400
23318,11341120,H400
23319,12740085,H400
23320,12580060,H400
23321,13610420,H400
23322,13681500,H400
23323,13540750,H400
23324,13540750,H400
23325,13540750,H400
23326,12582030,H400
23327,12531705,H400
23328,12571070,H400
23329,13530315,H400
23330,13441150,H400
23331,13660370,H400
23332,13571130,H400
23333,12640295,H400
23334,12640305,H400
23335,12510165,H400
23336,21970550,H400
23337,13510370,H400
23338,12651345,H400
23339,13620950,H400
23340,12521255,H400
23341,12360860,H400
23342,12521665,H400
23343,13421170,H400
23344,12440925,H400
23345,13620600,H400
23346,12780980,H400
23347,12720570,H400
23348,12521235,H400
23349,12720675,H400
23350,12660570,H400
23351,12581140,H400
23352,13551270,H400
23353,12520375,H400
23354,12570940,H400
23355,13570600,H400
23356,12731110,H400
23357,12710635,H400
23358,12580560,H400
23359,13421085,H400
23360,13421085,H400
23361,13430340,H400
23362,12650925,H400
23363,12560280,H400
23364,12420400,H005
23365,13630030,H400
23366,13630055,H400
23367,13640515,H400
23368,13630065,H400
23369,13640495,H400
23370,13640665,H400
23371,13640655,H400
23372,13640645,H400
23373,13640680,H400
23374,21970750,H400
23375,21970780,H400
23376,21970670,H400
23377,21970650,H400
23378,21970810,H400
23379,13530265,H400
23380,12511830,H400
23381,12560655,H400
23383,12531245,H262
23384,22980950,H065
23385,12730887,H035
23386,12420220,H035
23387,12410660,H125
23387,12410660,H185
23387,12410660,H245
23387,12410660,H305
23387,12410660,H317
23388,21950095,H035
23389,12420065,H283
23390,12560745,H005
23390,12560745,H035
23391,13681605,H035
23392,12510980,H320
23393,21980710,H160
23393,21980710,H245
23394,12720975,H035
23395,23280005,H035
23396,12580615,H320
23397,12520385,H320
23398,12570586,H320
23399,12520595,H320
23400,12531425,H320
23402,12531515,H320
23403,12531060,H320
23404,12531085,H320
23405,12520595,H320
23406,12580420,H320
23407,12571225,H320
23408,12571230,H320
23409,12581585,H320
23410,13660355,H401
23412,13571365,H116
23412,13571365,H120
23412,13571365,H185
23412,13571365,H205
23412,13571365,H317
23413,12781275,H400
23414,12250855,H400
23415,13530005,H400
23416,12651810,H400
23417,13680400,H400
23418,13550900,H400
23419,13420855,H400
23420,13550625,H400
23421,13570320,H400
23422,12660265,H400
23423,13560925,H400
23424,12660595,H400
23425,13560755,H400
23426,13560750,H400
23427,13560625,H400
23428,13430390,H400
23429,12510775,H400
23430,13430880,H400
23431,13431290,H400
23432,13440270,H400
23433,13421905,H400
23434,13511020,H400
23435,13610200,H400
23436,13570190,H400
23437,13570195,H400
23438,13570315,H400
23439,13510145,H400
23440,12760680,H400
23441,13550750,H400
23442,13550745,H400
23443,13680425,H400
23444,12560695,H400
23445,12571235,H400
23446,13640640,H400
23447,13560800,H400
23448,12582050,H400
23449,13550510,H400
23450,12651340,H400
23451,13580500,H400
23452,13441610,H400
23453,12570690,H400
23454,12570700,H400
23455,12570705,H400
23456,12520615,H400
23457,12510090,H400
23458,12510100,H400
23459,13431385,H400
23460,12560815,H400
23461,13660090,H400
23462,12710755,H400
23463,12570875,H400
